Project_url,Project_name
https://github.com/collections/machine-learning#start-of-content,apache / spark
https://github.com/collections/machine-learning#start-of-content,apache / hadoop
https://github.com/collections/machine-learning#start-of-content,jbhuang0604 / awesome-computer-vision
https://github.com/collections/machine-learning#start-of-content,GSA / data
https://github.com/collections/machine-learning#start-of-content,GoogleTrends / data
https://github.com/collections/machine-learning#start-of-content,nationalparkservice / data
https://github.com/collections/machine-learning#start-of-content,fivethirtyeight / data
https://github.com/collections/machine-learning#start-of-content,beamandrew / medical-data
https://github.com/collections/machine-learning#start-of-content,src-d / awesome-machine-learning-on-source-code
https://github.com/collections/machine-learning#start-of-content,igrigorik / decisiontree
https://github.com/collections/machine-learning#start-of-content,keon / awesome-nlp
https://github.com/collections/machine-learning#start-of-content,openai / gym
https://github.com/collections/machine-learning#start-of-content,aikorea / awesome-rl
https://github.com/collections/machine-learning#start-of-content,umutisik / Eigentechno
https://github.com/collections/machine-learning#start-of-content,jpmckinney / tf-idf-similarity
https://github.com/collections/machine-learning#start-of-content,scikit-learn-contrib / lightning
https://github.com/collections/machine-learning#start-of-content,gwding / draw_convnet
https://github.com/collections/machine-learning#start-of-content,scikit-learn / scikit-learn
https://github.com/collections/machine-learning#start-of-content,tensorflow / tensorflow
https://github.com/collections/machine-learning#start-of-content,activeloopai / deeplake
